,College Name,360 Careers Rating,NIRF Rank
366,"University Institute of Technology, The University of Burdwan, Burdwan",AAA+,--
367,"University of Calcutta, Kolkata",AAA+,--
368,"Uttar Banga Krishi Viswavidyalaya, Pundibari",AAA+,--
369,"Vardhaman College of Engineering, Hyderabad",AAA+,152
370,"Veer Surendra Sai University of Technology, Sambalpur",AAA+,126
371,"Vel Tech Rangarajan Dr Sagunthala R and D Institute of Science and Technology, Chennai",AAA+,86
372,"Vel's Institute of Science Technology and Advanced Studies, Chennai",AAA+,--
373,"Velagapudi Ramakrishna Siddhartha Engineering College, Vijayawada",AAA+,171
374,"Vidya Jyothi Institute of Technology, Hyderabad",AAA+,--
375,"Vignan's Institute of Information Technology, Visakhapatnam",AAA+,--
376,"Vishnu Institute of Technology, Bhimavaram",AAA+,--
377,"Vishwakarma Government Engineering College, Ahmedabad",AAA+,--
378,"Vishwakarma Institute of Information Technology, Pune",AAA+,--
379,"Vishwakarma Institute of Technology, Pune",AAA+,155
380,"Vivekanand Education Society's Institute of Technology, Chembur",AAA+,--
381,"Vivekanandha College of Engineering for Women, Tiruchengode",AAA+,--
382,"World College of Technology and Management, Gurgaon",AAA+,--
383,"YMCA University of Science and Technology, Faridabad",AAA+,144
384,"Yeshwantrao Chavan College of Engineering, Nagpur",AAA+,134
385,"ABES Engineering College, Ghaziabad",AAA,--
386,"ACE Engineering College, Ghatkesar",AAA,--
387,"ACS College of Engineering, Bangalore",AAA,--
388,"AMC Engineering College, Bangalore",AAA,--
389,"Academy of Technology, Hooghly",AAA,--
390,"Aditya College of Engineering, Surampalem",AAA,--
391,"All India Shri Shivaji Memorial Society's Institute of Information Technology, Pune",AAA,--
392,"Anand Engineering College, Agra",AAA,--
393,"Anand Institute of Higher Technology, Chennai",AAA,--
394,"Annamacharya Institute of Technology and Sciences, Tirupathi",AAA,--
395,"Annamalai University, Annamalai Nagar",AAA,--
396,"Annasaheb Dange College of Engineering and Technology, Sangli",AAA,--
397,"Anurag College of Engineering, Ghatkesar",AAA,--
398,"Axis Institute of Technology and Management, Kanpur",AAA,--
399,"BIT Sindri, Dhanbad",AAA,--
400,"BLDEA's VP Dr PG Halakatti College of Engineering and Technology, Bijapur",AAA,--
401,"Baddi University of Emerging Sciences and Technology, Baddi",AAA,--
402,"Ballari Institute of Technology and Management, Bellary",AAA,--
403,"Bapatla Engineering College, Bapatla",AAA,--
404,"Bapuji Institute of Engineering and Technology, Davangere",AAA,--
405,"Bengal Institute of Technology, Kolkata",AAA,--
406,"Bhagalpur College of Engineering, Bhagalpur",AAA,--
407,"Bhagwan Parshuram Institute of Technology, Delhi",AAA,--
408,"Birla Institute of Technology, Patna",AAA,--
409,"Bonam Venkata Chalamayya Engineering College, Odalarevu",AAA,--
410,"CMR Institute of Technology, Hyderabad",AAA,--
411,"CV Raman College of Engineering, Bhubaneswar",AAA,94
412,"Christ University, Bangalore",AAA,--
413,"College of Engineering Roorkee, Roorkee",AAA,--
414,"DY Patil College of Engineering, Pune",AAA,--
415,"Don Bosco Institute of Technology, Mumbai",AAA,--
416,"Dr BR Ambedkar Institute of Technology, Port Blair",AAA,198
417,"Dr CV Raman University, Bilaspur",AAA,--
418,"Dr Mahalingam College of Engineering and Technology, Pollachi",AAA,184
419,"EGS Pillay Engineering College, Nagapattinam",AAA,--
420,"Francis Xavier Engineering College, Tirunelveli",AAA,--
421,"GH Patel College of Engineering and Technology, Anand",AAA,--
422,"GIET University, Gunupur",AAA,--
423,"Gandhi Institute for Technological Advancement, Bhubaneswar",AAA,--
424,"Gaya College of Engineering, Gaya",AAA,--
425,"Geethanjali College of Engineering and Technology, Keesara",AAA,--
426,"Giani Zail Singh Campus College of Engineering and Technology, Maharaja Ranjit Singh Punjab Technical University, Bathinda",AAA,--
427,"Global Academy of Technology, Bangalore",AAA,--
428,"Godavari Institute of Engineering and Technology, Rajahmundry",AAA,--
429,"Government College of Engineering and Textile Technology, Berhampore",AAA,--
430,"Government College of Engineering, Kalahandi",AAA,--
431,"Government College of Engineering, Karad",AAA,--
432,"Gudlavalleru Engineering College, Gudlavalleru",AAA,--
433,"Guru Ghasidas Vishwavidyalaya, Bilaspur",AAA,--
434,"Gyan Ganga Institute of Technology and Sciences, Jabalpur",AAA,--
435,"HKBK College of Engineering, Bangalore",AAA,--
436,"Hindustan College of Science and Technology, Mathura",AAA,--
437,"Hindusthan College of Engineering and Technology, Coimbatore",AAA,--
438,"IES College of Technology, Bhopal",AAA,--
439,"IIMT College of Engineering, Greater Noida",AAA,--
440,"Indira Gandhi Institute of Technology, Sarang",AAA,--
441,"Institute of Engineering and Rural Technology, Allahabad",AAA,--
442,"Institute of Infrastructure Technology Research and Management, Ahmedabad",AAA,--
443,"Integral University, Lucknow",AAA,--
444,"Islamic University of Science and Technology, Pulwama",AAA,--
445,"JB Institute of Technology, Dehradun",AAA,--
446,"Jaipur National University, Jaipur",AAA,--
447,"Jalpaiguri Government Engineering College, Jalpaiguri",AAA,--
448,"Jawaharlal Nehru Government Engineering College, Sundernagar",AAA,--
449,"Jaypee University of Engineering and Technology, Guna",AAA,--
450,"Jyothy Institute of Technology, Bangalore",AAA,--
451,"K Ramakrishnan College of Engineering, Tiruchirappalli",AAA,--
452,"KE Society's Rajarambapu Institute of Technology, Sangli",AAA,--
453,"KIT's College of Engineering, Kolhapur",AAA,--
454,"KKR and KSR Institute of Technology and Sciences, Guntur",AAA,--
455,"KPR Institute of Engineering and Technology, Coimbatore",AAA,--
456,"Kamaraj College of Engineering and Technology, Virudhunagar",AAA,--
